,구별,인구수,한국인,외국인,고령자,소계,2013년도 이전,2014년,2015년,2016년
0,종로구,162820.0,153589.0,9231.0,25425.0,1002,464,314,211,630
1,중구,133240.0,124312.0,8928.0,20764.0,671,413,190,72,348
2,용산구,244203.0,229456.0,14747.0,36231.0,1624,1368,218,112,398
3,성동구,311244.0,303380.0,7864.0,39997.0,1062,730,91,241,265
4,광진구,372164.0,357211.0,14953.0,42214.0,707,573,78,53,174
5,동대문구,369496.0,354079.0,15417.0,54173.0,1294,1070,23,198,579
6,중랑구,414503.0,409882.0,4621.0,56774.0,660,509,121,177,109
7,성북구,461260.0,449773.0,11487.0,64692.0,1464,1009,78,360,204
8,강북구,330192.0,326686.0,3506.0,54813.0,748,369,120,138,204
9,도봉구,348646.0,346629.0,2017.0,51312.0,485,238,159,42,386
10,노원구,569384.0,565565.0,3819.0,71941.0,1265,542,57,451,516
11,은평구,494388.0,489943.0,4445.0,72334.0,1873,1138,224,278,468
12,서대문구,327163.0,314982.0,12181.0,48161.0,962,844,50,68,292
13,마포구,389649.0,378566.0,11083.0,48765.0,574,314,118,169,379
14,양천구,479978.0,475949.0,4029.0,52975.0,2034,1843,142,30,467
15,강서구,603772.0,597248.0,6524.0,72548.0,884,388,258,184,81
16,구로구,447874.0,416487.0,31387.0,56833.0,1561,1142,173,246,323
17,금천구,255082.0,236353.0,18729.0,32970.0,1015,674,51,269,354
18,영등포구,402985.0,368072.0,34913.0,52413.0,904,495,214,195,373
19,동작구,412520.0,400456.0,12064.0,56013.0,1091,544,341,103,314
20,관악구,525515.0,507203.0,18312.0,68082.0,1496,846,260,390,613
21,서초구,450310.0,445994.0,4316.0,51733.0,1930,1406,157,336,398
22,강남구,570500.0,565550.0,4950.0,63167.0,2780,1292,430,584,932
23,송파구,667483.0,660584.0,6899.0,72506.0,618,529,21,68,463
24,강동구,453233.0,449019.0,4214.0,54622.0,773,379,99,155,377
